,day,cash,portfolio,equity,positions,current,date
80,150,1181.482105255127,1136782.6979675293,1137964.1800727844,7,"['APCOTEXIND.NS-401-389', 'IOC.NS-133-134', 'SAILIFE.NS-793-783', 'EPIGRAL.NS-1843-1924', 'CARRARO.NS-433-459', 'NMDC.NS-68-64', 'THANGAMAYL.NS-1924-1781']",2025-08-06
81,151,14635.527851104736,1120104.9449157715,1134740.4727668762,7,"['APCOTEXIND.NS-394-389', 'IOC.NS-132-134', 'SAILIFE.NS-791-783', 'NMDC.NS-68-64', 'THANGAMAYL.NS-1956-1810', 'DIXON.NS-16655-15407', 'DPABHUSHAN.NS-1650-1527']",2025-08-07
82,152,14635.527851104736,1119726.1127624512,1134361.640613556,7,"['APCOTEXIND.NS-399-389', 'IOC.NS-134-134', 'SAILIFE.NS-827-783', 'NMDC.NS-68-64', 'THANGAMAYL.NS-1968-1822', 'DIXON.NS-15856-15407', 'DPABHUSHAN.NS-1623-1527']",2025-08-08
83,153,14635.527851104736,1134324.8251037598,1148960.3529548645,7,"['APCOTEXIND.NS-397-389', 'IOC.NS-135-134', 'SAILIFE.NS-893-827', 'NMDC.NS-67-64', 'THANGAMAYL.NS-1957-1822', 'DIXON.NS-16080-15407', 'DPABHUSHAN.NS-1640-1527']",2025-08-11
84,154,14635.527851104736,1133660.547821045,1148296.0756721497,7,"['APCOTEXIND.NS-401-389', 'IOC.NS-136-134', 'SAILIFE.NS-876-827', 'NMDC.NS-67-64', 'THANGAMAYL.NS-1971-1824', 'DIXON.NS-15820-15407', 'DPABHUSHAN.NS-1640-1527']",2025-08-12
85,155,14635.527851104736,1140613.4524230957,1155248.9802742004,7,"['APCOTEXIND.NS-399-389', 'IOC.NS-136-134', 'SAILIFE.NS-902-836', 'NMDC.NS-69-65', 'THANGAMAYL.NS-1986-1838', 'DIXON.NS-15944-15407', 'DPABHUSHAN.NS-1617-1527']",2025-08-13
86,156,14635.527851104736,1133984.5018310547,1148620.0296821594,7,"['APCOTEXIND.NS-398-389', 'IOC.NS-134-134', 'SAILIFE.NS-887-836', 'NMDC.NS-67-65', 'THANGAMAYL.NS-1998-1849', 'DIXON.NS-16183-15407', 'DPABHUSHAN.NS-1620-1527']",2025-08-14
87,157,14635.527851104736,1149283.3560791016,1163918.8839302063,7,"['APCOTEXIND.NS-404-389', 'IOC.NS-134-134', 'SAILIFE.NS-900-836', 'NMDC.NS-67-65', 'THANGAMAYL.NS-2010-1860', 'DIXON.NS-16748-15493', 'DPABHUSHAN.NS-1647-1527']",2025-08-18
88,158,14635.527851104736,1154477.035308838,1169112.5631599426,7,"['APCOTEXIND.NS-396-389', 'IOC.NS-136-134', 'SAILIFE.NS-910-843', 'NMDC.NS-68-65', 'THANGAMAYL.NS-2008-1860', 'DIXON.NS-16897-15631', 'DPABHUSHAN.NS-1659-1536']",2025-08-19
89,159,14635.527851104736,1154756.66897583,1169392.1968269348,7,"['APCOTEXIND.NS-390-389', 'IOC.NS-135-134', 'SAILIFE.NS-911-843', 'NMDC.NS-69-65', 'THANGAMAYL.NS-2066-1912', 'DIXON.NS-16868-15631', 'DPABHUSHAN.NS-1630-1536']",2025-08-20
